result_class,estimand,sampling_unit,null_model,metric,support,uncertainty_target
ngeo_maup_sensitivity,variation of support-weighted association across crossed scale-zoning support maps,declared support-map alternatives over one source dataset,not applicable for descriptive sensitivity,complete support operators and the selected correlation or slope,target supports under each declared zoning,not applicable for descriptive sensitivity
ngeo_model_calibration,predictive calibration diagnostic,held-out observations,not applicable for calibration diagnostic,model-specific metric,held-out support,predictive error distribution
ngeo_multiscale_inference,effect across declared support scales,source elements under declared exchangeability,recorded common-source null,supplied multiscale support operators,target regions by scale,joint null distribution across scales
ngeo_nonseparable_hotspots,local standardized concentration and descriptive temporal state under a nonseparable kernel,space-time cells within one independent unit,joint permutation of spatial identities and declared time coordinates for the complete reference map when requested,graph-hop by irregular-time kernel,base elements crossed with the declared time axis,raw or max-T reference-map p-values over all local cells within one independent unit; state and propagation labels remain descriptive and group inference requires independent-unit features
ngeo_parcellation_inference,effect sensitivity across parcellations,source elements resampled iid by the current implementation,recorded iid source-element bootstrap,supplied support operators,target regions,bootstrap distribution across declared parcellations
ngeo_resistance_distance,selected-pair graph distance conditioned on a declared conductance or barrier field,base-element pairs,not applicable for descriptive graph distance,derived undirected conductance graph,undirected union of the declared spatial graph,not applicable; no causal or sampling uncertainty is implied
ngeo_spatial_lm,linear-model coefficient,base elements,iid linear-model errors with residual spatial diagnostic,optional declared spatial-weights graph,base elements,coefficient standard error under recorded model
ngeo_spatial_regression,spatial regression coefficient and dependence parameter,base elements,model likelihood assumptions,declared spatial-weights graph,base elements,point estimates only; use declared perturbation workflows for uncertainty
ngeo_spatial_regression_uncertainty,spatial regression estimate under declared perturbations,declared resampling unit,declared resampling procedure,declared spatial-weights graph,base elements,distribution of spatial regression estimates
ngeo_spatiotemporal_moran,global spatiotemporal autocorrelation,space-time observations,recorded permutation schedule,separable spatial and temporal weights,space-time support,permutation distribution of the statistic
ngeo_stream_lm,linear-model coefficient over streamed values,base elements,iid linear-model errors,not applicable unless separately supplied,base elements,coefficient standard error under recorded model
ngeo_stream_moran,global Moran statistic over streamed values,base elements,not applicable unless separately simulated,declared spatial-weights graph,base elements,not applicable for point estimate only
ngeo_support_adjustment,multiplicity-adjusted support-scale evidence,hypotheses in the supplied result family,recorded familywise null,supplied support operators,target support,adjusted p-value family
ngeo_support_model,model estimate under one supplied support map,base elements,model-specific null,supplied support operator,target support,model-specific coefficient uncertainty
ngeo_support_model_ensemble,model estimate across supplied support alternatives,base elements,model-specific null,supplied support ensemble,target support,within and between-support model uncertainty
ngeo_support_sensitivity,output variation across supplied support operators,source observations,not applicable for descriptive sensitivity,supplied support ensemble,target support,weighted between-operator distribution
ngeo_support_test,effect after one declared change of support,source elements under declared exchangeability,recorded source-level null,supplied support operator,target support,null distribution of the target statistic
ngeo_support_uncertainty,aggregated value under value and operator uncertainty,source elements,Gaussian value draws and recorded operator ensemble,supplied support operator,target support,variance of the aggregated value
ngeo_temporal_moran,global temporal autocorrelation,time points,recorded temporal permutation,declared temporal weights,time support,permutation distribution of the statistic
ngeo_temporal_variogram,temporal semivariance by lag,time-point pairs,not applicable for descriptive variogram,recorded temporal lag metric,time support,not applicable for empirical semivariance
ngeo_variogram,empirical semivariance by distance bin,base-element pairs,not applicable for descriptive variogram,recorded distance method,base elements,not applicable for empirical semivariance
ngeo_variogram_fit,covariance-model parameters,base-element pairs,model fitting assumptions,recorded valid covariance metric,base elements,parameter fit uncertainty
ngeo_variogram_uncertainty,variogram parameter under declared perturbations,declared resampling unit,declared resampling procedure,recorded distance method,base elements,distribution of fitted variogram parameters
ngeo_wavelet_coupling,support-weighted localized spectral cross-layer coupling across declared scales,base elements within each declared unit-feature pair,not applicable for descriptive scale-space analysis,fixed spatial-operator eigenbasis and Mexican-heat kernel,component-local basis support,not applicable; retained-energy and spectral-coverage fields diagnose truncation
